Code,Test,Tab,Center,L/B,Task,ST,CT,ToT,Init,CFA,aCFA,FS,FCA,CEDZ,Notes,source,target,position
DonkeyAndBabyClothes,1,Y,Y,L,5-1,5:14,5:22,8.0,G to REDZ,G to REDZ,,0.0,,,,G,E,R
SuperRobotMonkeyTeam,2,Y,Y,B,5-1,4:08,4:15,7.0,G to REDZ,G to REDZ,,0.0,,,,G,E,R
ILikeJupyterCon,3,Y,N,L,5-1,4:46,4:53,7.0,G to REDZ,G to REDZ,,0.0,,,,G,E,R
StoreCatHiddenFacts,3,Y,N,L,5-1,6:37,6:44,7.0,G to REDZ,G to REDZ,,0.0,,,,G,E,R
FredaMyRogerDarci,5,N,Y,L,5-1,5:00,5:07,7.0,G to REDZ,G to REDZ,,0.0,,,,G,E,R
FalseDonkey,1,Y,Y,L,5-1,5:00,5:06,6.0,G to REDZ,G to REDZ,,0.0,,,,G,E,R
NoMilkForSally,1,Y,Y,L,5-1,5:13,5:19,6.0,G to REDZ,G to REDZ,,0.0,,,,G,E,R
WetDogOnBeach,3,Y,N,L,5-1,3:51,3:57,6.0,G to REDZ,G to REDZ,,0.0,,,,G,E,R
JupyterhubUpgradePsychosisAgent,5,N,Y,L,5-1,4:14,4:20,6.0,G to REDZ,G to REDZ,,0.0,,,,G,E,R
PopeyeVeganMonkeyMoogle,2,Y,Y,B,5-1,4:34,4:39,5.0,G to REDZ,G to REDZ,,0.0,,,,G,E,R
FootballBaseballLittleLeague,1,Y,Y,L,5-1,4:44,4:48,4.0,G to REDZ,G to REDZ,,0.0,,,,G,E,R
LauraSuttle,3,Y,N,L,5-1,3:32,3:36,4.0,G to REDZ,G to REDZ,,0.0,,,,G,E,R
MasterBranchXtensorIpyleaflet,1,Y,Y,L,5-1,3:05,3:08,3.0,G to REDZ,G to REDZ,,0.0,,,,G,E,R
JupyterConNewYork,6,N,Y,B,5-1,5:48,,1092.0,G to RRDZ,G to REDZ,,2.0,Reorganize until completion,,,G,R,R
